>XM_001388418.3 Aspergillus niger uncharacterized protein (An01g00030), partial mRNA
>XM_059750369.1 Aspergillus niger hypothetical protein (An11g07130), partial mRNA
>XM_059750370.1 Aspergillus niger uncharacterized protein (An11g07140), partial mRNA
>XM_059750371.1 Aspergillus niger uncharacterized protein (An11g07150), partial mRNA
>XM_059750372.1 Aspergillus niger uncharacterized protein (An11g07160), partial mRNA
>XM_059750373.1 Aspergillus niger uncharacterized protein (An01g09180), partial mRNA
>XM_059750374.1 Aspergillus niger uncharacterized protein (An11g07170), partial mRNA
>XM_059750375.1 Aspergillus niger uncharacterized protein (An11g07180), partial mRNA
>XM_059750376.1 Aspergillus niger uncharacterized protein (An11g07200), partial mRNA
>XM_059750377.1 Aspergillus niger uncharacterized protein (An11g07220), partial mRNA
>XM_059750378.1 Aspergillus niger uncharacterized protein (An11g07250), partial mRNA
>XM_059750379.1 Aspergillus niger uncharacterized protein (An11g07280), partial mRNA
>XM_059750380.1 Aspergillus niger uncharacterized protein (An11g07300), partial mRNA
>XM_059750381.1 Aspergillus niger uncharacterized protein (An11g07350), partial mRNA
>XM_059750382.1 Aspergillus niger hypothetical protein (An11g07360), partial mRNA
>XM_059750383.1 Aspergillus niger uncharacterized protein (An11g07370), partial mRNA
>XM_059750384.1 Aspergillus niger hypothetical protein (An11g07420), partial mRNA
>XM_059750385.1 Aspergillus niger uncharacterized protein (An01g09210), partial mRNA
>XM_059750386.1 Aspergillus niger hypothetical protein (An11g07430), partial mRNA
>XM_059750387.1 Aspergillus niger hypothetical protein (An11g07440), partial mRNA
>XM_059750388.1 Aspergillus niger uncharacterized protein (An11g07450), partial mRNA
>XM_059750389.1 Aspergillus niger hypothetical protein (An11g07460), partial mRNA
>XM_059750390.1 Aspergillus niger hypothetical protein (An11g07480), partial mRNA
>XM_059750391.1 Aspergillus niger hypothetical protein (An11g07500), partial mRNA
>XM_059750392.1 Aspergillus niger uncharacterized protein (An11g07510), partial mRNA
>XM_059750393.1 Aspergillus niger uncharacterized protein (An11g07530), partial mRNA
>XM_059750394.1 Aspergillus niger hypothetical protein (An11g07560), partial mRNA
>XM_059750395.1 Aspergillus niger hypothetical protein (An11g07580), partial mRNA
>XM_059750396.1 Aspergillus niger uncharacterized protein (An11g07600), partial mRNA
>XM_059750397.1 Aspergillus niger uncharacterized protein (An11g07610), partial mRNA
>XM_059750398.1 Aspergillus niger uncharacterized protein (An11g07620), partial mRNA
>XM_059750399.1 Aspergillus niger uncharacterized protein (An11g07640), partial mRNA
>XM_059750400.1 Aspergillus niger hypothetical protein (An01g09230), partial mRNA
>XM_059750401.1 Aspergillus niger uncharacterized protein (An11g07670), partial mRNA
>XM_059750402.1 Aspergillus niger uncharacterized protein (An11g07700), partial mRNA
>XM_059750403.1 Aspergillus niger hypothetical protein (An11g07710), partial mRNA
>XM_059750404.1 Aspergillus niger hypothetical protein (An11g07720), partial mRNA
>XM_059750405.1 Aspergillus niger uncharacterized protein (An11g07730), partial mRNA
>XM_059750406.1 Aspergillus niger uncharacterized protein (An01g00970), partial mRNA
>XM_059750407.1 Aspergillus niger uncharacterized protein (An01g09240), partial mRNA
>XM_059750408.1 Aspergillus niger hypothetical protein (An11g07770), partial mRNA
>XM_059750409.1 Aspergillus niger uncharacterized protein (An11g07790), partial mRNA
>XM_059750410.1 Aspergillus niger uncharacterized protein (An11g07800), partial mRNA
>XM_059750411.1 Aspergillus niger uncharacterized protein (An11g07810), partial mRNA
>XM_059750412.1 Aspergillus niger uncharacterized protein (An11g07820), partial mRNA
>XM_059750413.1 Aspergillus niger uncharacterized protein (An11g07830), partial mRNA
>XM_059750414.1 Aspergillus niger hypothetical protein (An11g07850), partial mRNA
>XM_059750415.1 Aspergillus niger uncharacterized protein (An01g09250), partial mRNA
>XM_059750416.1 Aspergillus niger hypothetical protein (An11g07870), partial mRNA
>XM_059750417.1 Aspergillus niger hypothetical protein (An11g07880), partial mRNA
>XM_059750418.1 Aspergillus niger uncharacterized protein (An11g07900), partial mRNA
>XM_059750419.1 Aspergillus niger uncharacterized protein (An11g07910), partial mRNA
>XM_059750420.1 Aspergillus niger uncharacterized protein (An11g07930), partial mRNA
>XM_059750421.1 Aspergillus niger hypothetical protein (An11g07940), partial mRNA
>XM_059750422.1 Aspergillus niger uncharacterized protein (An01g09260), partial mRNA
>XM_059750423.1 Aspergillus niger uncharacterized protein (An11g07980), partial mRNA
>XM_059750424.1 Aspergillus niger hypothetical protein (An11g07990), partial mRNA
>XM_059750425.1 Aspergillus niger hypothetical protein (An11g08000), partial mRNA
>XM_059750426.1 Aspergillus niger uncharacterized protein (An11g08040), partial mRNA
>XM_059750427.1 Aspergillus niger uncharacterized protein (An11g08090), partial mRNA
>XM_059750428.1 Aspergillus niger uncharacterized protein (An11g08100), partial mRNA
>XM_059750429.1 Aspergillus niger hypothetical protein (An11g08110), partial mRNA
>XM_059750430.1 Aspergillus niger uncharacterized protein (An11g08120), partial mRNA
>XM_059750431.1 Aspergillus niger uncharacterized protein (An11g08130), partial mRNA
>XM_059750432.1 Aspergillus niger uncharacterized protein (An11g08160), partial mRNA
>XM_059750433.1 Aspergillus niger hypothetical protein (An01g09280), partial mRNA
>XM_059750434.1 Aspergillus niger hypothetical protein (An11g08170), partial mRNA
>XM_059750435.1 Aspergillus niger uncharacterized protein (An11g08180), partial mRNA
>XM_059750436.1 Aspergillus niger hypothetical protein (An11g08210), partial mRNA
>XM_059750437.1 Aspergillus niger uncharacterized protein (An11g08220), partial mRNA
>XM_059750438.1 Aspergillus niger hypothetical protein (An11g08230), partial mRNA
>XM_059750439.1 Aspergillus niger uncharacterized protein (An11g08240), partial mRNA
>XM_059750440.1 Aspergillus niger uncharacterized protein (An11g08290), partial mRNA
>XM_059750441.1 Aspergillus niger uncharacterized protein (An11g08300), partial mRNA
>XM_059750442.1 Aspergillus niger uncharacterized protein (An11g08320), partial mRNA
>XM_059750443.1 Aspergillus niger uncharacterized protein (An11g08330), partial mRNA
>XM_059750444.1 Aspergillus niger uncharacterized protein (An11g08340), partial mRNA
>XM_059750445.1 Aspergillus niger uncharacterized protein (An11g08350), partial mRNA
>XM_059750446.1 Aspergillus niger hypothetical protein (An11g08360), partial mRNA
>XM_059750447.1 Aspergillus niger hypothetical protein (An11g08380), partial mRNA
>XM_059750448.1 Aspergillus niger uncharacterized protein (An01g09300), partial mRNA
>XM_059750449.1 Aspergillus niger uncharacterized protein (An11g08390), partial mRNA
>XM_059750450.1 Aspergillus niger uncharacterized protein (An11g08400), partial mRNA
>XM_059750451.1 Aspergillus niger uncharacterized protein (An11g08410), partial mRNA
>XM_059750452.1 Aspergillus niger hypothetical protein (An11g08420), partial mRNA
>XM_059750453.1 Aspergillus niger uncharacterized protein (An11g08430), partial mRNA
>XM_059750454.1 Aspergillus niger hypothetical protein (An11g08450), partial mRNA
>XM_059750455.1 Aspergillus niger uncharacterized protein (An11g08470), partial mRNA
>XM_059750456.1 Aspergillus niger hypothetical protein (An11g08480), partial mRNA
>XM_059750457.1 Aspergillus niger uncharacterized protein (An11g08500), partial mRNA
>XM_059750458.1 Aspergillus niger uncharacterized protein (An11g08520), partial mRNA
>XM_059750459.1 Aspergillus niger hypothetical protein (An11g08540), partial mRNA
>XM_059750460.1 Aspergillus niger hypothetical protein (An11g08570), partial mRNA
>XM_059750461.1 Aspergillus niger hypothetical protein (An11g08580), partial mRNA
>XM_059750462.1 Aspergillus niger hypothetical protein (An11g08590), partial mRNA
>XM_059750463.1 Aspergillus niger uncharacterized protein (An11g08600), partial mRNA
>XM_059750464.1 Aspergillus niger hypothetical protein (An11g08630), partial mRNA
>XM_059750465.1 Aspergillus niger hypothetical protein (An11g08640), partial mRNA
>XM_059750466.1 Aspergillus niger uncharacterized protein (An11g08650), partial mRNA
>XM_059750467.1 Aspergillus niger uncharacterized protein (An11g08700), partial mRNA
>XM_059750468.1 Aspergillus niger hypothetical protein (An11g08710), partial mRNA
>XM_059750469.1 Aspergillus niger uncharacterized protein (An11g08720), partial mRNA
>XM_059750470.1 Aspergillus niger uncharacterized protein (An11g08730), partial mRNA
>XM_059750471.1 Aspergillus niger uncharacterized protein (An01g09330), partial mRNA
>XM_059750472.1 Aspergillus niger hypothetical protein (An11g08740), partial mRNA
>XM_059750473.1 Aspergillus niger hypothetical protein [truncated ORF] (An11g08760), partial mRNA
>XM_059750474.1 Aspergillus niger uncharacterized protein (An11g08770), partial mRNA
>XM_059750475.1 Aspergillus niger uncharacterized protein (An11g08780), partial mRNA
>XM_059750476.1 Aspergillus niger uncharacterized protein (An11g08810), partial mRNA
>XM_059750477.1 Aspergillus niger uncharacterized protein (An11g08830), partial mRNA
>XM_059750478.1 Aspergillus niger uncharacterized protein (An01g00990), partial mRNA
>XM_059750479.1 Aspergillus niger hypothetical protein (An01g09340), partial mRNA
>XM_059750480.1 Aspergillus niger uncharacterized protein (An11g08850), partial mRNA
>XM_059750481.1 Aspergillus niger uncharacterized protein (An11g08890), partial mRNA
>XM_059750482.1 Aspergillus niger uncharacterized protein (An11g08910), partial mRNA
>XM_059750483.1 Aspergillus niger uncharacterized protein (An11g08930), partial mRNA
>XM_059750484.1 Aspergillus niger uncharacterized protein (An11g08940), partial mRNA
>XM_059750485.1 Aspergillus niger uncharacterized protein (An11g08960), partial mRNA
>XM_059750486.1 Aspergillus niger hypothetical protein (An11g08970), partial mRNA
>XM_059750487.1 Aspergillus niger uncharacterized protein (An11g08980), partial mRNA
>XM_059750488.1 Aspergillus niger uncharacterized protein (An11g09010), partial mRNA
>XM_059750489.1 Aspergillus niger hypothetical protein (An11g09020), partial mRNA
>XM_059750490.1 Aspergillus niger hypothetical protein (An11g09040), partial mRNA
>XM_059750491.1 Aspergillus niger hypothetical protein (An01g09360), partial mRNA
>XM_059750492.1 Aspergillus niger uncharacterized protein (An11g09080), partial mRNA
>XM_059750493.1 Aspergillus niger hypothetical protein (An11g09090), partial mRNA
>XM_059750494.1 Aspergillus niger uncharacterized protein (An11g09150), partial mRNA
>XM_059750495.1 Aspergillus niger uncharacterized protein (An11g09160), partial mRNA
>XM_059750496.1 Aspergillus niger hypothetical protein (An01g09370), partial mRNA
>XM_059750497.1 Aspergillus niger uncharacterized protein (An11g09180), partial mRNA
>XM_059750498.1 Aspergillus niger uncharacterized protein (An11g09210), partial mRNA
>XM_059750499.1 Aspergillus niger hypothetical protein (An11g09220), partial mRNA
>XM_059750500.1 Aspergillus niger uncharacterized protein (An11g09260), partial mRNA
>XM_059750501.1 Aspergillus niger uncharacterized protein (An01g09380), partial mRNA
>XM_059750502.1 Aspergillus niger hypothetical protein [truncated ORF] (An11g09280), partial mRNA
>XM_059750503.1 Aspergillus niger hypothetical protein (An11g09290), partial mRNA
>XM_059750504.1 Aspergillus niger hypothetical protein [truncated ORF] (An11g09300), partial mRNA
>XM_059750505.1 Aspergillus niger uncharacterized protein (An11g09310), partial mRNA
>XM_059750506.1 Aspergillus niger uncharacterized protein (An11g09340), partial mRNA
>XM_059750507.1 Aspergillus niger uncharacterized protein (An11g09350), partial mRNA
>XM_059750508.1 Aspergillus niger uncharacterized protein (An11g09400), partial mRNA
>XM_059750509.1 Aspergillus niger uncharacterized protein (An11g09420), partial mRNA
>XM_059750510.1 Aspergillus niger uncharacterized protein (An11g09430), partial mRNA
>XM_059750511.1 Aspergillus niger uncharacterized protein (An11g09490), partial mRNA
>XM_059750512.1 Aspergillus niger uncharacterized protein (An11g09530), partial mRNA
>XM_059750513.1 Aspergillus niger uncharacterized protein (An01g09410), partial mRNA
>XM_059750514.1 Aspergillus niger uncharacterized protein (An11g09580), partial mRNA
>XM_059750515.1 Aspergillus niger uncharacterized protein (An11g09600), partial mRNA
>XM_059750516.1 Aspergillus niger uncharacterized protein (An11g09620), partial mRNA
>XM_059750517.1 Aspergillus niger uncharacterized protein (An11g09630), partial mRNA
>XM_059750518.1 Aspergillus niger uncharacterized protein (An11g09650), partial mRNA
>XM_059750519.1 Aspergillus niger hypothetical protein (An01g09420), partial mRNA
>XM_059750520.1 Aspergillus niger uncharacterized protein (An11g09680), partial mRNA
>XM_059750521.1 Aspergillus niger uncharacterized protein (An11g09710), partial mRNA
>XM_059750522.1 Aspergillus niger hypothetical protein (An01g09430), partial mRNA
>XM_059750523.1 Aspergillus niger uncharacterized protein (An11g09860), partial mRNA
>XM_059750524.1 Aspergillus niger uncharacterized protein (An11g09870), partial mRNA
>XM_059750525.1 Aspergillus niger uncharacterized protein (An01g01000), partial mRNA
>XM_059750526.1 Aspergillus niger uncharacterized protein (An01g09440), partial mRNA
>XM_059750527.1 Aspergillus niger uncharacterized protein (An11g09880), partial mRNA
>XM_059750528.1 Aspergillus niger uncharacterized protein (An11g09940), partial mRNA
>XM_059750529.1 Aspergillus niger uncharacterized protein (An11g09950), partial mRNA
>XM_059750530.1 Aspergillus niger uncharacterized protein (An01g09450), partial mRNA
>XM_059750531.1 Aspergillus niger uncharacterized protein (An11g09980), partial mRNA
>XM_059750532.1 Aspergillus niger uncharacterized protein (An11g10000), partial mRNA
>XM_059750533.1 Aspergillus niger uncharacterized protein (An11g10010), partial mRNA
>XM_059750534.1 Aspergillus niger uncharacterized protein (An11g10030), partial mRNA
>XM_059750535.1 Aspergillus niger uncharacterized protein (An01g09460), partial mRNA
>XM_059750536.1 Aspergillus niger uncharacterized protein (An11g10080), partial mRNA
>XM_059750537.1 Aspergillus niger uncharacterized protein (An11g10110), partial mRNA
>XM_059750538.1 Aspergillus niger uncharacterized protein (An11g10120), partial mRNA
>XM_059750539.1 Aspergillus niger uncharacterized protein (An11g10130), partial mRNA
>XM_059750540.1 Aspergillus niger uncharacterized protein (An11g10140), partial mRNA
>XM_059750541.1 Aspergillus niger hypothetical protein (An11g10170), partial mRNA
>XM_059750542.1 Aspergillus niger hypothetical protein (An01g09470), partial mRNA
>XM_059750543.1 Aspergillus niger uncharacterized protein (An11g10190), partial mRNA
>XM_059750544.1 Aspergillus niger uncharacterized protein (An11g10210), partial mRNA
>XM_059750545.1 Aspergillus niger hypothetical protein (An11g10230), partial mRNA
>XM_059750546.1 Aspergillus niger uncharacterized protein (An11g10250), partial mRNA
>XM_059750547.1 Aspergillus niger uncharacterized protein (An11g10270), partial mRNA
>XM_059750548.1 Aspergillus niger uncharacterized protein (An11g10280), partial mRNA
>XM_059750549.1 Aspergillus niger uncharacterized protein (An11g10320), partial mRNA
>XM_059750550.1 Aspergillus niger hypothetical protein (An11g10360), partial mRNA
>XM_059750551.1 Aspergillus niger uncharacterized protein (An11g10380), partial mRNA
>XM_059750552.1 Aspergillus niger uncharacterized protein (An11g10410), partial mRNA
>XM_059750553.1 Aspergillus niger uncharacterized protein (An11g10420), partial mRNA
>XM_059750554.1 Aspergillus niger uncharacterized protein (An11g10440), partial mRNA
>XM_059750555.1 Aspergillus niger uncharacterized protein (An11g10460), partial mRNA
>XM_059750556.1 Aspergillus niger uncharacterized protein (An11g10480), partial mRNA
>XM_059750557.1 Aspergillus niger uncharacterized protein (An11g10500), partial mRNA
>XM_059750558.1 Aspergillus niger uncharacterized protein (An11g10510), partial mRNA
>XM_059750559.1 Aspergillus niger uncharacterized protein (An11g10520), partial mRNA
>XM_059750560.1 Aspergillus niger hypothetical protein (An11g10530), partial mRNA
>XM_059750561.1 Aspergillus niger uncharacterized protein (An11g10550), partial mRNA
>XM_059750562.1 Aspergillus niger uncharacterized protein (An11g10560), partial mRNA
>XM_059750563.1 Aspergillus niger uncharacterized protein (An11g10580), partial mRNA
>XM_059750564.1 Aspergillus niger uncharacterized protein (An11g10600), partial mRNA
>XM_059750565.1 Aspergillus niger uncharacterized protein (An11g10630), partial mRNA
>XM_059750566.1 Aspergillus niger hypothetical protein (An11g10640), partial mRNA
>XM_059750567.1 Aspergillus niger uncharacterized protein (An11g10670), partial mRNA
>XM_059750568.1 Aspergillus niger hypothetical protein (An11g10700), partial mRNA
>XM_059750569.1 Aspergillus niger uncharacterized protein (An11g10740), partial mRNA
>XM_059750570.1 Aspergillus niger uncharacterized protein (An11g10770), partial mRNA
>XM_059750571.1 Aspergillus niger uncharacterized protein (An11g10780), partial mRNA
>XM_059750572.1 Aspergillus niger uncharacterized protein (An01g09530), partial mRNA
>XM_059750573.1 Aspergillus niger uncharacterized protein (An11g10810), partial mRNA
>XM_059750574.1 Aspergillus niger uncharacterized protein (An11g10830), partial mRNA
>XM_059750575.1 Aspergillus niger uncharacterized protein (An11g10840), partial mRNA
>XM_059750576.1 Aspergillus niger hypothetical protein (An11g10850), partial mRNA
>XM_059750577.1 Aspergillus niger hypothetical protein (An11g10860), partial mRNA
>XM_059750578.1 Aspergillus niger uncharacterized protein (An11g10870), partial mRNA
>XM_059750579.1 Aspergillus niger hypothetical protein (An11g10880), partial mRNA
>XM_059750580.1 Aspergillus niger hypothetical protein (An11g10900), partial mRNA
>XM_059750581.1 Aspergillus niger hypothetical protein (An11g10940), partial mRNA
>XM_059750582.1 Aspergillus niger uncharacterized protein (An11g10950), partial mRNA
>XM_059750583.1 Aspergillus niger uncharacterized protein (An11g10960), partial mRNA
>XM_059750584.1 Aspergillus niger uncharacterized protein (An11g10970), partial mRNA
>XM_059750585.1 Aspergillus niger hypothetical protein (An11g10980), partial mRNA
>XM_059750586.1 Aspergillus niger uncharacterized protein (An11g11040), partial mRNA
>XM_059750587.1 Aspergillus niger uncharacterized protein (An11g11050), partial mRNA
>XM_059750588.1 Aspergillus niger uncharacterized protein (An11g11060), partial mRNA
>XM_059750589.1 Aspergillus niger uncharacterized protein (An11g11070), partial mRNA
>XM_059750590.1 Aspergillus niger uncharacterized protein (An01g09560), partial mRNA
>XM_059750591.1 Aspergillus niger uncharacterized protein (An11g11110), partial mRNA
>XM_059750592.1 Aspergillus niger uncharacterized protein (An11g11130), partial mRNA
>XM_059750593.1 Aspergillus niger uncharacterized protein (An11g11150), partial mRNA
>XM_059750594.1 Aspergillus niger uncharacterized protein (An11g11160), partial mRNA
>XM_059750595.1 Aspergillus niger uncharacterized protein (An11g11190), partial mRNA
>XM_059750596.1 Aspergillus niger hypothetical protein (An11g11200), partial mRNA
>XM_059750597.1 Aspergillus niger hypothetical protein (An11g11220), partial mRNA
>XM_059750598.1 Aspergillus niger uncharacterized protein (An11g11240), partial mRNA
>XM_059750599.1 Aspergillus niger uncharacterized protein (An11g11250), partial mRNA
>XM_059750600.1 Aspergillus niger hypothetical protein (An11g11270), partial mRNA
>XM_059750601.1 Aspergillus niger uncharacterized protein (An01g09580), partial mRNA
>XM_059750602.1 Aspergillus niger uncharacterized protein (An11g11290), partial mRNA
>XM_059750603.1 Aspergillus niger uncharacterized protein (An12g00010), partial mRNA
>XM_059750604.1 Aspergillus niger hypothetical protein (An12g00015), partial mRNA
>XM_059750605.1 Aspergillus niger uncharacterized protein (An12g00020), partial mRNA
>XM_059750606.1 Aspergillus niger uncharacterized protein (An12g00040), partial mRNA
>XM_059750607.1 Aspergillus niger hypothetical protein (An12g00050), partial mRNA
>XM_059750608.1 Aspergillus niger uncharacterized protein (An12g00080), partial mRNA
>XM_059750609.1 Aspergillus niger hypothetical protein (An12g00090), partial mRNA
>XM_059750610.1 Aspergillus niger uncharacterized protein (An12g00100), partial mRNA
>XM_059750611.1 Aspergillus niger uncharacterized protein (An12g00120), partial mRNA
>XM_059750612.1 Aspergillus niger uncharacterized protein (An12g00140), partial mRNA
>XM_059750613.1 Aspergillus niger uncharacterized protein (An12g00150), partial mRNA
>XM_059750614.1 Aspergillus niger hypothetical protein (An01g09600), partial mRNA
>XM_059750615.1 Aspergillus niger uncharacterized protein (An12g00190), partial mRNA
>XM_059750616.1 Aspergillus niger uncharacterized protein (An12g00200), partial mRNA
>XM_059750617.1 Aspergillus niger uncharacterized protein (An12g00250), partial mRNA
>XM_059750618.1 Aspergillus niger uncharacterized protein (An12g00260), partial mRNA
>XM_059750619.1 Aspergillus niger hypothetical protein (An12g00270), partial mRNA
>XM_059750620.1 Aspergillus niger hypothetical protein (An12g00290), partial mRNA
>XM_059750621.1 Aspergillus niger hypothetical protein (An12g00300), partial mRNA
>XM_059750622.1 Aspergillus niger hypothetical protein (An12g00310), partial mRNA
>XM_059750623.1 Aspergillus niger uncharacterized protein (An12g00340), partial mRNA
>XM_059750624.1 Aspergillus niger hypothetical protein (An12g00360), partial mRNA
>XM_059750625.1 Aspergillus niger uncharacterized protein (An12g00370), partial mRNA
>XM_059750626.1 Aspergillus niger uncharacterized protein (An12g00380), partial mRNA
>XM_059750627.1 Aspergillus niger uncharacterized protein (An12g00390), partial mRNA
>XM_059750628.1 Aspergillus niger uncharacterized protein (An12g00400), partial mRNA
>XM_059750629.1 Aspergillus niger uncharacterized protein (An12g00410), partial mRNA
>XM_059750630.1 Aspergillus niger hypothetical protein (An12g00420), partial mRNA
>XM_059750631.1 Aspergillus niger hypothetical protein (An12g00430), partial mRNA
>XM_059750632.1 Aspergillus niger uncharacterized protein (An12g00450), partial mRNA
>XM_059750633.1 Aspergillus niger uncharacterized protein (An12g00460), partial mRNA
>XM_059750634.1 Aspergillus niger uncharacterized protein (An12g00470), partial mRNA
>XM_059750635.1 Aspergillus niger uncharacterized protein (An12g00500), partial mRNA
>XM_059750636.1 Aspergillus niger uncharacterized protein (An12g00520), partial mRNA
>XM_059750637.1 Aspergillus niger uncharacterized protein (An12g00530), partial mRNA
>XM_059750638.1 Aspergillus niger hypothetical protein (An12g00540), partial mRNA
>XM_059750639.1 Aspergillus niger hypothetical protein (An12g00560), partial mRNA
>XM_059750640.1 Aspergillus niger uncharacterized protein (An01g01020), partial mRNA
>XM_059750641.1 Aspergillus niger uncharacterized protein (An12g00580), partial mRNA
>XM_059750642.1 Aspergillus niger uncharacterized protein (An12g00610), partial mRNA
>XM_059750643.1 Aspergillus niger uncharacterized protein (An12g00630), partial mRNA
>XM_059750644.1 Aspergillus niger uncharacterized protein (An12g00640), partial mRNA
>XM_059750645.1 Aspergillus niger uncharacterized protein (An12g00670), partial mRNA
>XM_059750646.1 Aspergillus niger hypothetical protein (An12g00695), partial mRNA
>XM_059750647.1 Aspergillus niger uncharacterized protein (An12g00720), partial mRNA
>XM_059750648.1 Aspergillus niger uncharacterized protein (An12g00750), partial mRNA
>XM_059750649.1 Aspergillus niger hypothetical protein (An01g09660), partial mRNA
>XM_059750650.1 Aspergillus niger uncharacterized protein (An12g00780), partial mRNA
>XM_059750651.1 Aspergillus niger hypothetical protein (An12g00810), partial mRNA
>XM_059750652.1 Aspergillus niger uncharacterized protein (An12g00830), partial mRNA
>XM_059750653.1 Aspergillus niger uncharacterized protein (An12g00840), partial mRNA
>XM_059750654.1 Aspergillus niger uncharacterized protein (An12g00860), partial mRNA
>XM_059750655.1 Aspergillus niger hypothetical protein (An01g09670), partial mRNA
>XM_059750656.1 Aspergillus niger uncharacterized protein (An12g00870), partial mRNA
>XM_059750657.1 Aspergillus niger uncharacterized protein (An12g00880), partial mRNA
>XM_059750658.1 Aspergillus niger uncharacterized protein (An12g00890), partial mRNA
>XM_059750659.1 Aspergillus niger hypothetical protein (An01g09680), partial mRNA
>XM_059750660.1 Aspergillus niger uncharacterized protein (An12g00970), partial mRNA
>XM_059750661.1 Aspergillus niger uncharacterized protein (An12g00980), partial mRNA
>XM_059750662.1 Aspergillus niger uncharacterized protein (An12g00990), partial mRNA
>XM_059750663.1 Aspergillus niger uncharacterized protein (An12g01010), partial mRNA
>XM_059750664.1 Aspergillus niger uncharacterized protein (An12g01040), partial mRNA
>XM_059750665.1 Aspergillus niger hypothetical protein (An12g01050), partial mRNA
>XM_059750666.1 Aspergillus niger hypothetical protein (An01g09690), partial mRNA
>XM_059750667.1 Aspergillus niger uncharacterized protein (An12g01080), partial mRNA
>XM_059750668.1 Aspergillus niger hypothetical protein (An12g01090), partial mRNA
>XM_059750669.1 Aspergillus niger uncharacterized protein (An12g01120), partial mRNA
>XM_059750670.1 Aspergillus niger hypothetical protein (An12g01130), partial mRNA
>XM_059750671.1 Aspergillus niger uncharacterized protein (An12g01140), partial mRNA
>XM_059750672.1 Aspergillus niger uncharacterized protein (An12g01150), partial mRNA
>XM_059750673.1 Aspergillus niger hypothetical protein (An12g01160), partial mRNA
>XM_059750674.1 Aspergillus niger uncharacterized protein (An01g09700), partial mRNA
>XM_059750675.1 Aspergillus niger hypothetical protein (An12g01200), partial mRNA
>XM_059750676.1 Aspergillus niger uncharacterized protein (An12g01220), partial mRNA
>XM_059750677.1 Aspergillus niger hypothetical protein (An12g01230), partial mRNA
>XM_059750678.1 Aspergillus niger uncharacterized protein (An12g01250), partial mRNA
>XM_059750679.1 Aspergillus niger uncharacterized protein (An12g01260), partial mRNA
>XM_059750680.1 Aspergillus niger uncharacterized protein (An12g01270), partial mRNA
>XM_059750681.1 Aspergillus niger hypothetical protein (An01g09710), partial mRNA
>XM_059750682.1 Aspergillus niger hypothetical protein [truncated ORF] (An12g01290), partial mRNA
>XM_059750683.1 Aspergillus niger uncharacterized protein (An12g01300), partial mRNA
>XM_059750684.1 Aspergillus niger uncharacterized protein (An12g01320), partial mRNA
>XM_059750685.1 Aspergillus niger uncharacterized protein (An12g01340), partial mRNA
>XM_059750686.1 Aspergillus niger hypothetical protein (An01g09720), partial mRNA
>XM_059750687.1 Aspergillus niger uncharacterized protein (An12g01380), partial mRNA
>XM_059750688.1 Aspergillus niger hypothetical protein (An12g01400), partial mRNA
>XM_059750689.1 Aspergillus niger uncharacterized protein (An12g01410), partial mRNA
>XM_059750690.1 Aspergillus niger uncharacterized protein (An12g01420), partial mRNA
>XM_059750691.1 Aspergillus niger hypothetical protein (An12g01430), partial mRNA
>XM_059750692.1 Aspergillus niger uncharacterized protein (An12g01440), partial mRNA
>XM_059750693.1 Aspergillus niger uncharacterized protein (An12g01510), partial mRNA
>XM_059750694.1 Aspergillus niger uncharacterized protein (An12g01560), partial mRNA
>XM_059750695.1 Aspergillus niger uncharacterized protein (An12g01590), partial mRNA
>XM_059750696.1 Aspergillus niger uncharacterized protein (An12g01600), partial mRNA
>XM_059750697.1 Aspergillus niger uncharacterized protein (An12g01620), partial mRNA
>XM_059750698.1 Aspergillus niger uncharacterized protein (An12g01630), partial mRNA
>XM_059750699.1 Aspergillus niger uncharacterized protein (An12g01650), partial mRNA
>XM_059750700.1 Aspergillus niger uncharacterized protein (An12g01660), partial mRNA
>XM_059750701.1 Aspergillus niger uncharacterized protein (An12g01680), partial mRNA
>XM_059750702.1 Aspergillus niger uncharacterized protein (An12g01690), partial mRNA
>XM_059750703.1 Aspergillus niger uncharacterized protein (An12g01720), partial mRNA
>XM_059750704.1 Aspergillus niger uncharacterized protein (An12g01730), partial mRNA
>XM_059750705.1 Aspergillus niger uncharacterized protein (An12g01750), partial mRNA
>XM_059750706.1 Aspergillus niger uncharacterized protein (An12g01760), partial mRNA
>XM_059750707.1 Aspergillus niger uncharacterized protein (An12g01770), partial mRNA
>XM_059750708.1 Aspergillus niger uncharacterized protein (An12g01780), partial mRNA
>XM_059750709.1 Aspergillus niger uncharacterized protein (An12g01790), partial mRNA
>XM_059750710.1 Aspergillus niger uncharacterized protein (An12g01810), partial mRNA
>XM_059750711.1 Aspergillus niger uncharacterized protein (An12g01820), partial mRNA
>XM_059750712.1 Aspergillus niger uncharacterized protein (An12g01830), partial mRNA
>XM_059750713.1 Aspergillus niger uncharacterized protein (An12g01840), partial mRNA
>XM_059750714.1 Aspergillus niger hypothetical protein (An12g01860), partial mRNA
>XM_059750715.1 Aspergillus niger uncharacterized protein (An12g01880), partial mRNA
>XM_059750716.1 Aspergillus niger uncharacterized protein (An01g09770), partial mRNA
>XM_059750717.1 Aspergillus niger uncharacterized protein (An12g01910), partial mRNA
>XM_059750718.1 Aspergillus niger uncharacterized protein (An12g01940), partial mRNA
