>XM_001481341.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_8G00342), partial mRNA
>XM_749486.1 Aspergillus fumigatus Af293 dolichyl-phosphate beta-D-mannosyltransferase (AFUA_3G10400), partial mRNA
>XM_749487.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G10390), partial mRNA
>XM_749488.1 Aspergillus fumigatus Af293 transcription factor TFIIIC subunit TFC6 (AFUA_3G10380), partial mRNA
>XM_749489.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G10370), partial mRNA
>XM_749490.1 Aspergillus fumigatus Af293 vacuolar sorting protein 35 (AFUA_3G10360), partial mRNA
>XM_749491.1 Aspergillus fumigatus Af293 stress response protein Nst1, putative (AFUA_3G10350), partial mRNA
>XM_749492.1 Aspergillus fumigatus Af293 Rho GTPase Rho 2, putative (AFUA_3G10340), partial mRNA
>XM_749493.1 Aspergillus fumigatus Af293 mitochondrial 54S ribosomal protein mL40 (AFUA_3G10330), partial mRNA
>XM_749494.1 Aspergillus fumigatus Af293 RING finger domain protein (AFUA_3G10320), partial mRNA
>XM_749495.1 Aspergillus fumigatus Af293 acetolactate synthase catalytic subunit (AFUA_3G10310), partial mRNA
>XM_749496.1 Aspergillus fumigatus Af293 galactokinase (AFUA_3G10300), partial mRNA
>XM_749497.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G10290), partial mRNA
>XM_749498.1 Aspergillus fumigatus Af293 DNA replication protein, putative (AFUA_3G10280), partial mRNA
>XM_749499.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G10270), partial mRNA
>XM_749501.2 Aspergillus fumigatus Af293 formin-binding protein HOF1 (AFUA_3G10250), partial mRNA
>XM_749502.1 Aspergillus fumigatus Af293 CCR4-NOT core subunit CDC39 (AFUA_3G10240), partial mRNA
>XM_749503.2 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G10230), partial mRNA
>XM_749504.2 Aspergillus fumigatus Af293 acid phosphatase, putative (AFUA_3G10220), partial mRNA
>XM_749505.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G10210), partial mRNA
>XM_749506.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G10200), partial mRNA
>XM_749507.1 Aspergillus fumigatus Af293 peroxisomal membrane anchor protein (Pex14), putative (AFUA_3G10190), partial mRNA
>XM_749508.1 Aspergillus fumigatus Af293 kinetochore-associated Ndc80 complex subunit NDC80 (AFUA_3G10180), partial mRNA
>XM_749509.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G10175), partial mRNA
>XM_749510.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G10170), partial mRNA
>XM_749511.1 Aspergillus fumigatus Af293 C6 transcription factor, putative (AFUA_3G10160), partial mRNA
>XM_749512.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G10150), partial mRNA
>XM_749513.1 Aspergillus fumigatus Af293 ubiquinone/menaquinone biosynthesis-related protein (AFUA_3G10140), partial mRNA
>XM_749514.1 Aspergillus fumigatus Af293 fructosyl amino acid oxidasesarcosine oxidase, putative (AFUA_3G10130), partial mRNA
>XM_749515.1 Aspergillus fumigatus Af293 RNA polymerase I and III transcription factor complex component Tbp, putative (AFUA_3G10120), partial mRNA
>XM_749516.1 Aspergillus fumigatus Af293 electron-transferring-flavoprotein dehydrogenase (AFUA_3G10110), partial mRNA
>XM_749517.2 Aspergillus fumigatus Af293 pre-RNA splicing factor Srp2, putative (AFUA_3G10100), partial mRNA
>XM_749518.1 Aspergillus fumigatus Af293 dihydroneopterin aldolase domain protein (AFUA_3G10090), partial mRNA
>XM_749519.1 Aspergillus fumigatus Af293 serine/threonine protein kinase, putative (AFUA_3G10080), partial mRNA
>XM_749521.1 Aspergillus fumigatus Af293 Dor1-like family protein (AFUA_3G10060), partial mRNA
>XM_749522.1 Aspergillus fumigatus Af293 acid phosphatase DET1 (AFUA_3G10050), partial mRNA
>XM_749523.1 Aspergillus fumigatus Af293 cyclin-like protein (Clg1), putative (AFUA_3G10040), partial mRNA
>XM_749524.1 Aspergillus fumigatus Af293 forkhead domain protein (AFUA_3G10030), partial mRNA
>XM_749525.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G10010), partial mRNA
>XM_749526.1 Aspergillus fumigatus Af293 cAMP-dependent protein kinase regulatory subunit PkaR (AFUA_3G10000), partial mRNA
>XM_749527.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G09990), partial mRNA
>XM_749528.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G09980), partial mRNA
>XM_749529.1 Aspergillus fumigatus Af293 vacuolar iron transporter Ccc1, putative (AFUA_3G09970), partial mRNA
>XM_749530.1 Aspergillus fumigatus Af293 aureobasidin resistance protein Aur1 (AFUA_3G09960), partial mRNA
>XM_749531.1 Aspergillus fumigatus Af293 phospholipid:diacylglycerol acyltransferase (AFUA_3G09950), partial mRNA
>XM_749532.1 Aspergillus fumigatus Af293 peptide alpha-N-acetyltransferase MAK3 (AFUA_3G09940), partial mRNA
>XM_749534.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G09920), partial mRNA
>XM_749535.1 Aspergillus fumigatus Af293 phosphatidylinositol transporter, putative (AFUA_3G09910), partial mRNA
>XM_749536.2 Aspergillus fumigatus Af293 Ras GTPase activating protein IRA2 (AFUA_3G09900), partial mRNA
>XM_749537.1 Aspergillus fumigatus Af293 hypothetical membrane protein, putative (AFUA_3G09890), partial mRNA
>XM_749538.1 Aspergillus fumigatus Af293 exosome nuclease subunit RRP6 (AFUA_3G09880), partial mRNA
>XM_749539.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G09870), partial mRNA
>XM_749540.1 Aspergillus fumigatus Af293 phosphatidylinositol N-acetylglucosaminyltransferase (AFUA_3G09860), partial mRNA
>XM_749541.1 Aspergillus fumigatus Af293 mismatch repair ATPase MSH2 (AFUA_3G09850), partial mRNA
>XM_749542.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G09840), partial mRNA
>XM_749543.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G09830), partial mRNA
>XM_749544.2 Aspergillus fumigatus Af293 C2H2 transcription factor, putative (AFUA_3G09820), partial mRNA
>XM_749545.1 Aspergillus fumigatus Af293 Golgi transport complex subunit COG5 (AFUA_3G09810), partial mRNA
>XM_749546.2 Aspergillus fumigatus Af293 class II aldolase/adducin domain protein (AFUA_3G09800), partial mRNA
>XM_749547.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G09790), partial mRNA
>XM_749548.2 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G09780), partial mRNA
>XM_749549.1 Aspergillus fumigatus Af293 RNA-binding protein (Nab3), putative (AFUA_3G09770), partial mRNA
>XM_749550.1 Aspergillus fumigatus Af293 peptidyl-tRNA hydrolase domain protein (AFUA_3G09760), partial mRNA
>XM_749551.1 Aspergillus fumigatus Af293 snoRNA-binding rRNA-processing protein UTP6 (AFUA_3G09750), partial mRNA
>XM_749552.1 Aspergillus fumigatus Af293 integral plasma membrane protein, putative (AFUA_3G09740), partial mRNA
>XM_749553.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G09730), partial mRNA
>XM_749554.1 Aspergillus fumigatus Af293 cleavage polyadenylation factor subunit CFT2 (AFUA_3G09720), partial mRNA
>XM_749555.1 Aspergillus fumigatus Af293 amino acid permease (AFUA_3G09710), partial mRNA
>XM_749556.1 Aspergillus fumigatus Af293 Sec23/Sec24 family protein (AFUA_3G09700), partial mRNA
>XM_749557.1 Aspergillus fumigatus Af293 extracellular thaumatin domain protein, putative (AFUA_3G09690), partial mRNA
>XM_749558.1 Aspergillus fumigatus Af293 ABC efflux transporter, putative (AFUA_3G09680), partial mRNA
>XM_749559.1 Aspergillus fumigatus Af293 C6 transcription factor OefC (AFUA_3G09670), partial mRNA
>XM_749560.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G09660), partial mRNA
>XM_749561.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G09650), partial mRNA
>XM_749562.1 Aspergillus fumigatus Af293 camp independent regulatory protein (AFUA_3G09640), partial mRNA
>XM_749563.1 Aspergillus fumigatus Af293 asparagine--tRNA ligase SLM5 (AFUA_3G09630), partial mRNA
>XM_749564.1 Aspergillus fumigatus Af293 RNA binding protein, putative (AFUA_3G09620), partial mRNA
>XM_749565.1 Aspergillus fumigatus Af293 histone acetyltransferase (MysT1), putative (AFUA_3G09610), partial mRNA
>XM_749566.1 Aspergillus fumigatus Af293 snoRNP complex protein NOP56 (AFUA_3G09600), partial mRNA
>XM_749567.1 Aspergillus fumigatus Af293 chaperonin-containing T-complex subunit CCT6 (AFUA_3G09590), partial mRNA
>XM_749568.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G09580), partial mRNA
>XM_749569.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G09570), partial mRNA
>XM_749570.1 Aspergillus fumigatus Af293 DNA polymerase epsilon catalytic subunit POL2 (AFUA_3G09560), partial mRNA
>XM_749571.1 Aspergillus fumigatus Af293 calcium/calmodulin dependent protein kinase, putative (AFUA_3G09550), partial mRNA
>XM_749572.1 Aspergillus fumigatus Af293 monooxygenase, putative (AFUA_3G09540), partial mRNA
>XM_749573.1 Aspergillus fumigatus Af293 cytochrome P450, putative (AFUA_3G09530), partial mRNA
>XM_749574.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G09520), partial mRNA
>XM_749575.1 Aspergillus fumigatus Af293 3-oxoacyl-(acyl-carrier-protein) reductase (AFUA_3G09510), partial mRNA
>XM_749576.1 Aspergillus fumigatus Af293 aryl-alcohol oxidase; vanillyl-alcohol oxidase (AFUA_3G09500), partial mRNA
>XM_749577.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G09490), partial mRNA
>XM_749578.1 Aspergillus fumigatus Af293 15-hydroxyprostaglandin dehydrogenase (NAD(+)) (AFUA_3G09480), partial mRNA
>XM_749579.2 Aspergillus fumigatus Af293 3-hydroxyisobutyrate dehydrogenase, putative (AFUA_3G09470), partial mRNA
>XM_749580.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G09460), partial mRNA
>XM_749581.2 Aspergillus fumigatus Af293 alpha/beta fold family hydrolase, putative (AFUA_3G09450), partial mRNA
>XM_749586.1 Aspergillus fumigatus Af293 MFS transporter (Hol1), putative (AFUA_3G09400), partial mRNA
>XM_749587.1 Aspergillus fumigatus Af293 AMMECR1 family protein (AFUA_3G09390), partial mRNA
>XM_749588.1 Aspergillus fumigatus Af293 regulatory factor Sgt1, putative (AFUA_3G09380), partial mRNA
>XM_749589.1 Aspergillus fumigatus Af293 spindle-pole body protein (Pcp1), putative (AFUA_3G09370), partial mRNA
>XM_749590.1 Aspergillus fumigatus Af293 AAA family ATPase VPS4 (AFUA_3G09360), partial mRNA
>XM_749591.1 Aspergillus fumigatus Af293 tubulin-binding prefolding complex subunit YKE2 (AFUA_3G09350), partial mRNA
>XM_749592.1 Aspergillus fumigatus Af293 small subunit rRNA maturation protein TSR4 (AFUA_3G09340), partial mRNA
>XM_749593.1 Aspergillus fumigatus Af293 prenylcysteine lyase, putative (AFUA_3G09330), partial mRNA
>XM_749594.1 Aspergillus fumigatus Af293 glycine hydroxymethyltransferase SHM2 (AFUA_3G09320), partial mRNA
>XM_749595.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G09300), partial mRNA
>XM_749597.1 Aspergillus fumigatus Af293 phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent (AFUA_3G09290), partial mRNA
>XM_749599.1 Aspergillus fumigatus Af293 eukaryotic translation initiation factor 3 subunit EifCk, putative (AFUA_3G09280), partial mRNA
>XM_749600.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G09270), partial mRNA
>XM_749601.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G09260), partial mRNA
>XM_749602.2 Aspergillus fumigatus Af293 cell wall glucanase, putative (AFUA_3G09250), partial mRNA
>XM_749603.1 Aspergillus fumigatus Af293 CAIB/BAIF family enzyme (AFUA_3G09240), partial mRNA
>XM_749604.1 Aspergillus fumigatus Af293 carboxylesterase, putative (AFUA_3G09230), partial mRNA
>XM_749605.1 Aspergillus fumigatus Af293 P450 family fatty acid hydroxylase, putative (AFUA_3G09220), partial mRNA
>XM_749606.1 Aspergillus fumigatus Af293 endonuclease/exonuclease/phosphatase family protein (AFUA_3G09210), partial mRNA
>XM_749607.1 Aspergillus fumigatus Af293 aldehyde reductase I (ARI), putative (AFUA_3G09190), partial mRNA
>XM_749608.1 Aspergillus fumigatus Af293 MFS transporter, putative (AFUA_3G09170), partial mRNA
>XM_749609.1 Aspergillus fumigatus Af293 extracellular proline-rich protein (AFUA_3G09160), partial mRNA
>XM_749610.1 Aspergillus fumigatus Af293 oxidoreductase, short chain dehydrogenase/reductase family protein, putative (AFUA_3G09150), partial mRNA
>XM_749611.2 Aspergillus fumigatus Af293 endo 1,5-alpha-arabinase (AFUA_3G09140), partial mRNA
>XM_749612.1 Aspergillus fumigatus Af293 C6 transcription factor, putative (AFUA_3G09130), partial mRNA
>XM_749613.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G09120), partial mRNA
>XM_749614.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G09110), partial mRNA
>XM_749615.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G09100), partial mRNA
>XM_749616.1 Aspergillus fumigatus Af293 RING finger domain protein (AFUA_3G09090), partial mRNA
>XM_749617.2 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G09080), partial mRNA
>XM_749618.1 Aspergillus fumigatus Af293 carboxylesterase, putative (AFUA_3G09070), partial mRNA
>XM_749619.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G09060), partial mRNA
>XM_749620.1 Aspergillus fumigatus Af293 exonuclease, putative (AFUA_3G09050), partial mRNA
>XM_749621.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G09040), partial mRNA
>XM_749622.1 Aspergillus fumigatus Af293 regulatory protein SUAPRGA1 (AFUA_3G09030), partial mRNA
>XM_749623.1 Aspergillus fumigatus Af293 DNA primase subunit PRI1 (AFUA_3G09020), partial mRNA
>XM_749624.1 Aspergillus fumigatus Af293 cell surface protein, putative (AFUA_3G08990), partial mRNA
>XM_749625.1 Aspergillus fumigatus Af293 threonine synthase THR4 (AFUA_3G08980), partial mRNA
>XM_749626.1 Aspergillus fumigatus Af293 AP-1 adaptor complex subunit beta, putative (AFUA_3G08970), partial mRNA
>XM_749627.2 Aspergillus fumigatus Af293 epoxide hydrolase, putative (AFUA_3G08960), partial mRNA
>XM_749628.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G08950), partial mRNA
>XM_749629.1 Aspergillus fumigatus Af293 proteasome regulatory particle lid subunit rpnL (AFUA_3G08940), partial mRNA
>XM_749630.2 Aspergillus fumigatus Af293 tripeptidyl peptidase SED3 (AFUA_3G08930), partial mRNA
>XM_749633.1 Aspergillus fumigatus Af293 tubulin-specific chaperone c, putative (AFUA_3G08900), partial mRNA
>XM_749634.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G08890), partial mRNA
>XM_749635.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G08880), partial mRNA
>XM_749636.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G08870), partial mRNA
>XM_749637.1 Aspergillus fumigatus Af293 transcriptional regulator, putative (AFUA_3G08860), partial mRNA
>XM_749638.1 Aspergillus fumigatus Af293 flavin-linked sulfhydryl oxidase (AFUA_3G08850), partial mRNA
>XM_749639.1 Aspergillus fumigatus Af293 coatomer subunit alpha (AFUA_3G08840), partial mRNA
>XM_749640.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G08830), partial mRNA
>XM_749641.1 Aspergillus fumigatus Af293 sterylglucosidase 1 (AFUA_3G08820), partial mRNA
>XM_749642.1 Aspergillus fumigatus Af293 SKI complex subunit tetratricopeptide repeat protein SKI3 (AFUA_3G08810), partial mRNA
>XM_749643.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G08800), partial mRNA
>XM_749644.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G08790), partial mRNA
>XM_749645.1 Aspergillus fumigatus Af293 karyopherin MSN5 (AFUA_3G08780), partial mRNA
>XM_749646.1 Aspergillus fumigatus Af293 NADH-ubiquinone oxidoreductase subunit GRIM-19, putative (AFUA_3G08770), partial mRNA
>XM_749647.1 Aspergillus fumigatus Af293 tRNA (guanine(9)-N(1))-methyltransferase (AFUA_3G08760), partial mRNA
>XM_749648.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G08750), partial mRNA
>XM_749649.1 Aspergillus fumigatus Af293 oxidative stress response protein Oxr1, putative (AFUA_3G08740), partial mRNA
>XM_749650.1 Aspergillus fumigatus Af293 endosome-associated ubiquitin isopeptidase (AmsH), putative (AFUA_3G08730), partial mRNA
>XM_749651.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G08720), partial mRNA
>XM_749652.1 Aspergillus fumigatus Af293 protein kinase domain-containing protein (AFUA_3G08710), partial mRNA
>XM_749653.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G08690), partial mRNA
>XM_749654.1 Aspergillus fumigatus Af293 extracellular exo-polygalacturonase, putative (AFUA_3G08680), partial mRNA
>XM_749655.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G08670), partial mRNA
>XM_749656.1 Aspergillus fumigatus Af293 isocitrate dehydrogenase Idp1, putative (AFUA_3G08660), partial mRNA
>XM_749657.1 Aspergillus fumigatus Af293 C1 tetrahydrofolate synthase, putative (AFUA_3G08650), partial mRNA
>XM_749658.1 Aspergillus fumigatus Af293 translation initiation factor eIF3 subunit i (AFUA_3G08640), partial mRNA
>XM_749659.1 Aspergillus fumigatus Af293 multiprotein-bridging factor 1 (AFUA_3G08630), partial mRNA
>XM_749660.1 Aspergillus fumigatus Af293 SH3 domain protein (AFUA_3G08620), partial mRNA
>XM_749661.2 Aspergillus fumigatus Af293 DUF124 domain protein (AFUA_3G08610), partial mRNA
>XM_749662.1 Aspergillus fumigatus Af293 translation initiation factor eIF2 subunit beta (AFUA_3G08600), partial mRNA
>XM_749663.2 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G08590), partial mRNA
>XM_749664.1 Aspergillus fumigatus Af293 glycine-rich RNA-binding protein, putative (AFUA_3G08580), partial mRNA
>XM_749665.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G08570), partial mRNA
>XM_749666.2 Aspergillus fumigatus Af293 gamma-glutamylcyclotransferase (AFUA_3G08560), partial mRNA
>XM_749667.1 Aspergillus fumigatus Af293 short-chain dehydrogenase/reductase family protein, putative (AFUA_3G08550), partial mRNA
>XM_749668.2 Aspergillus fumigatus Af293 calcium binding modulator protein (Alg2), putative (AFUA_3G08540), partial mRNA
>XM_749669.1 Aspergillus fumigatus Af293 MFS drug transporter, putative (AFUA_3G08530), partial mRNA
>XM_749670.1 Aspergillus fumigatus Af293 SRF-type transcription factor RlmA (AFUA_3G08520), partial mRNA
>XM_749671.1 Aspergillus fumigatus Af293 morphogenesis protein (Msb1), putative (AFUA_3G08500), partial mRNA
>XM_749672.1 Aspergillus fumigatus Af293 ThiJ/PfpI family protein (AFUA_3G08490), partial mRNA
>XM_749673.2 Aspergillus fumigatus Af293 sucrose transporter, putative (AFUA_3G08480), partial mRNA
>XM_749674.1 Aspergillus fumigatus Af293 glucose-6-phosphate dehydrogenase (AFUA_3G08470), partial mRNA
>XM_749675.1 Aspergillus fumigatus Af293 60S ribosomal protein eL33 (AFUA_3G08460), partial mRNA
>XM_749676.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G08450), partial mRNA
>XM_749677.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G08440), partial mRNA
>XM_749678.1 Aspergillus fumigatus Af293 mitochondrial phosphate carrier protein, putative (AFUA_3G08430), partial mRNA
>XM_749679.1 Aspergillus fumigatus Af293 cystathionine beta-synthase (beta-thionase), putative (AFUA_3G08420), partial mRNA
>XM_749680.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G08410), partial mRNA
>XM_749681.1 Aspergillus fumigatus Af293 SNF2 family helicase/ATPase, putative (AFUA_3G08400), partial mRNA
>XM_749682.1 Aspergillus fumigatus Af293 tRNA-dihydrouridine(20) synthase (NAD(+)) (AFUA_3G08390), partial mRNA
>XM_749683.1 Aspergillus fumigatus Af293 inorganic diphosphatase IPP1 (AFUA_3G08380), partial mRNA
>XM_749684.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G08370), partial mRNA
>XM_749685.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G08360), partial mRNA
>XM_749686.1 Aspergillus fumigatus Af293 protein transport membrane glycoprotein Sec20, putative (AFUA_3G08350), partial mRNA
>XM_749687.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G08340), partial mRNA
>XM_749688.1 Aspergillus fumigatus Af293 ATP-dependent Clp protease, proteolytic subunit ClpP (AFUA_3G08330), partial mRNA
>XM_749689.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G08320), partial mRNA
>XM_749690.1 Aspergillus fumigatus Af293 4-nitrophenylphosphatase (AFUA_3G08310), partial mRNA
>XM_749691.1 Aspergillus fumigatus Af293 replication factor C subunit 2 (AFUA_3G08300), partial mRNA
>XM_749692.1 Aspergillus fumigatus Af293 aspartyl aminopeptidase (AFUA_3G08290), partial mRNA
>XM_749693.1 Aspergillus fumigatus Af293 cell cycle regulatory protein (Srw1), putative (AFUA_3G08280), partial mRNA
>XM_749694.1 Aspergillus fumigatus Af293 pyruvate dehydrogenase complex component Pdx1, putative (AFUA_3G08270), partial mRNA
>XM_749695.1 Aspergillus fumigatus Af293 cohesin subunit SMC1 (AFUA_3G08260), partial mRNA
>XM_749696.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G08250), partial mRNA
>XM_749697.1 Aspergillus fumigatus Af293 glycerophosphocholine acyltransferase (AFUA_3G08240), partial mRNA
>XM_749698.1 Aspergillus fumigatus Af293 MRS7 family protein (AFUA_3G08230), partial mRNA
>XM_749699.1 Aspergillus fumigatus Af293 NUDIX domain protein (AFUA_3G08220), partial mRNA
>XM_749700.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G08210), partial mRNA
>XM_749701.1 Aspergillus fumigatus Af293 alpha-mannosidase (AFUA_3G08200), partial mRNA
>XM_749702.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G08190), partial mRNA
>XM_749703.1 Aspergillus fumigatus Af293 low-affinity Cu transporter (AFUA_3G08180), partial mRNA
>XM_749704.1 Aspergillus fumigatus Af293 F-box and JmjC domain protein, putative (AFUA_3G08170), partial mRNA
>XM_749705.1 Aspergillus fumigatus Af293 eukaryotic translation initiation factor 4, putative (AFUA_3G08160), partial mRNA
>XM_749706.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G08150), partial mRNA
>XM_749707.1 Aspergillus fumigatus Af293 fumarylacetoacetate hydrolase family protein (AFUA_3G08140), partial mRNA
>XM_749708.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G08130), partial mRNA
>XM_749709.1 Aspergillus fumigatus Af293 PWI domain mRNA processing protein, putative (AFUA_3G08120), partial mRNA
>XM_749710.1 Aspergillus fumigatus Af293 cell wall protein, putative (AFUA_3G08110), partial mRNA
>XM_749711.1 Aspergillus fumigatus Af293 serine/threonine/tyrosine protein kinase MPS1 (AFUA_3G08100), partial mRNA
>XM_749712.1 Aspergillus fumigatus Af293 rRNA-processing protein NSA2 (AFUA_3G08090), partial mRNA
>XM_749713.1 Aspergillus fumigatus Af293 mitochondrial 54S ribosomal protein bL21m (AFUA_3G08080), partial mRNA
>XM_749714.1 Aspergillus fumigatus Af293 GMC oxidoreductase, putative (AFUA_3G08070), partial mRNA
>XM_749715.1 Aspergillus fumigatus Af293 DUF1338 domain protein (AFUA_3G08060), partial mRNA
>XM_749716.1 Aspergillus fumigatus Af293 C6 transcription factor (OTam), putative (AFUA_3G08050), partial mRNA
>XM_749717.1 Aspergillus fumigatus Af293 DNA-directed RNA polymerase II subunit RPB4 (AFUA_3G08040), partial mRNA
>XM_749718.1 Aspergillus fumigatus Af293 tRNA (guanine) methyltransferase (AFUA_3G08030), partial mRNA
>XM_749719.1 Aspergillus fumigatus Af293 PX domain protein (AFUA_3G08020), partial mRNA
>XM_749720.1 Aspergillus fumigatus Af293 C2H2 transcription factor (Ace1), putative (AFUA_3G08010), partial mRNA
>XM_749721.1 Aspergillus fumigatus Af293 AAA family ATPase peroxin 6 (AFUA_3G08000), partial mRNA
>XM_749722.1 Aspergillus fumigatus Af293 GABA permease GabA (AFUA_3G07990), partial mRNA
>XM_749723.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07980), partial mRNA
>XM_749725.2 Aspergillus fumigatus Af293 alpha-ketoglutarate-dependent taurine dioxygenase (AFUA_3G07960), partial mRNA
>XM_749726.2 Aspergillus fumigatus Af293 transporter, putative (AFUA_3G07950), partial mRNA
>XM_749727.1 Aspergillus fumigatus Af293 phosphoinositide-specific phospholipase C, putative (AFUA_3G07940), partial mRNA
>XM_749728.1 Aspergillus fumigatus Af293 glutathione S-transferase, putative (AFUA_3G07930), partial mRNA
>XM_749729.1 Aspergillus fumigatus Af293 mitochondrial 54S ribosomal protein mL54 (AFUA_3G07920), partial mRNA
>XM_749730.1 Aspergillus fumigatus Af293 UDP-glucose 4-epimerase, putative (AFUA_3G07910), partial mRNA
>XM_749731.1 Aspergillus fumigatus Af293 cell surface spherulin 4-like protein, putative (AFUA_3G07900), partial mRNA
>XM_749732.1 Aspergillus fumigatus Af293 endo alpha-1,4 polygalactosaminidase, putative (AFUA_3G07890), partial mRNA
>XM_749733.2 Aspergillus fumigatus Af293 extracellular serine-rich protein, putative (AFUA_3G07870), partial mRNA
>XM_749734.1 Aspergillus fumigatus Af293 glycosyl transferase, putative (AFUA_3G07860), partial mRNA
>XM_749735.2 Aspergillus fumigatus Af293 dipeptidyl aminopeptidase dapB (AFUA_3G07850), partial mRNA
>XM_749736.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07840), partial mRNA
>XM_749737.1 Aspergillus fumigatus Af293 chaperonin-containing T-complex subunit CCT4 (AFUA_3G07830), partial mRNA
>XM_749738.1 Aspergillus fumigatus Af293 proteasome regulatory particle base subunit RPT1 (AFUA_3G07820), partial mRNA
>XM_749739.1 Aspergillus fumigatus Af293 succinate dehydrogenase subunit Sdh1, putative (AFUA_3G07810), partial mRNA
>XM_749740.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07800), partial mRNA
>XM_749741.1 Aspergillus fumigatus Af293 argininosuccinate lyase ARG4 (AFUA_3G07790), partial mRNA
>XM_749742.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_3G07760), partial mRNA
>XM_749743.1 Aspergillus fumigatus Af293 acetyltransferase, GNAT family family (AFUA_3G07750), partial mRNA
>XM_749744.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07740), partial mRNA
>XM_749745.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_3G07730), partial mRNA
